Source,Model,Elapsed Time
Laptop,simple conv,2.3179945000447333
Laptop,simple conv,1.768958899891004
Laptop,simple conv,1.4144621999002993
Laptop,simple conv,1.564289800124243
Laptop,simple conv,1.68392249988392
Laptop,simple conv,1.3208751999773085
Laptop,simple conv,1.3365217000246048
Laptop,simple conv,1.7719305001664907
Laptop,simple conv,1.357893800130114
Laptop,simple conv,1.3614604999311268
Laptop,simple conv,1.9429554999805987
